2|4|Le 15;Sal 29;Is 66:1-14;At 28:17-31|
3|4|Le 16;Sal 30;Is 66:15-24;Mar 1:1-20|
4|4|Le 17;Sal 31:1-11;Ger 1;Mar 1:21-45|
5|4|Le 18;Sal 31:12-24;Ger 2:1-19;Mar 2:1-22|
6|4|Le 19;Sal 32;Ger 2:20-37;Mar 2:23-3:6|
7|4|Le 20;Sal 33;Ger 3:1-10;Mar 3:7-35|
8|4|Le 21;Sal 34;Ger 3:11-25;Mar 4:1-34|
9|4|Le 22;Sal 35:1-10;Ger 4:1-18;Mar 4:35-5:20|
10|4|Le 23;Sal 35:11-28;Ger 4:19-31;Mar 5:21-43|
11|4|Le 24;Sal 36;Ger 5:1-19;Mar 6:1-13|
12|4|Le 25;Sal 37:1-19;Ger 5:20-31;Mar 6:14-29|
13|4|Le 26;Sal 37:20-40;Ger 6:1-8;Mar 6:30-56|
14|4|Le 27;Sal 38;Ger 6:9-30;Mar 7:1-30|
15|4|Nu 1;Sal 39;Ger 7:1-15;Mar 7:31-8:26|
16|4|Nu 2;Sal 40;Ger 7:16-34;Mar 8:27-9:1|
17|4|Nu 3;Sal 41;Ger 8:1-13;Mar 9:2-29|
18|4|Nu 4;Sal 42;Ger 8:14-22;Mar 9:30-50|
19|4|Nu 5;Sal 43;Ger 9:1-16;Mar 10:1-16|
20|4|Nu 6;Sal 44:1-12;Ger 9:17-26;Mar 10:17-31|
21|4|Nu 7;Sal 44:13-26;Ger 10:1-16;Mar 10:32-52|
22|4|Nu 8-9;Sal 45;Ger 10:17-25;Mar 11:1-26|
23|4|Nu 10;Sal 46;Ger 11:1-17;Mar 11:27-12:17|
24|4|Nu 11;Sal 47;Ger 11:18-23;Mar 12:18-44|
25|4|Nu 12;Sal 48;Ger 12;Mar 13|
26|4|Nu 13-14;Sal 49;Ger 13:1-14;Mar 14:1-11|
27|4|Nu 15;Sal 50;Ger 13:15-27;Mar 14:12-31|
28|4|Nu 16-17;Sal 51;Ger 14:1-9;Mar 14:32-52|
29|4|Nu 18;Sal 52;Ger 14:10-22;Mar 14:53-72|
30|4|Nu 19-20;Sal 53;Ger 15:1-9;Mar 15:1-20|
1|5|Nu 21;Sal 54;Ger 15:10-21;Mar 15:21-47|
2|5|Nu 22;Sal 55:1-11;Ger 16:1-13;Mar 16:1-20|
3|5|Nu 23;Sal 55:12-23;Ger 16:14-21;Ro 1:1-17|
4|5|Nu 24-25;Sal 56;Ger 17:1-13;Ro 1:18-32|
